"AAPL.Close","ABBV.Close","ABT.Close","ACN.Close","ADBE.Close","AGN.Close","AIG.Close","ALL.Close","AMGN.Close","AMZN.Close","AXP.Close","BA.Close","BAC.Close","BIIB.Close","BK.Close","BKNG.Close","BLK.Close","BMY.Close","BRK.B.Close","C.Close","CAT.Close","CELG.Close","CHTR.Close","CL.Close","CMCSA.Close","COF.Close","COP.Close","COST.Close","CSCO.Close","CVS.Close","CVX.Close","DHR.Close","DIS.Close","DUK.Close","DWDP.Close","EMR.Close","EXC.Close","F.Close","FB.Close","FDX.Close","GD.Close","GE.Close","GILD.Close","GM.Close","GOOG.Close","GOOGL.Close","GS.Close","HD.Close","HON.Close","IBM.Close","INTC.Close","JNJ.Close","JPM.Close","KHC.Close","KMI.Close","KO.Close","LLY.Close","LMT.Close","LOW.Close","MA.Close","MCD.Close","MDLZ.Close","MDT.Close","MET.Close","MMM.Close","MO.Close","MRK.Close","MS.Close","MSFT.Close","NEE.Close","NFLX.Close","NKE.Close","NVDA.Close","ORCL.Close","OXY.Close","PEP.Close","PFE.Close","PG.Close","PM.Close","PYPL.Close","QCOM.Close","RTN.Close","SBUX.Close","SLB.Close","SO.Close","SPG.Close","T.Close","TGT.Close","TXN.Close","UNH.Close","UNP.Close","UPS.Close","USB.Close","UTX.Close","V.Close","VZ.Close","WBA.Close","WFC.Close","WMT.Close","XOM.Close"
"2018-01-02",172.259995,98.410004,58.790001,153.839996,177.699997,170.320007,59.5,101.919998,177,1189.01001,98.940002,296.839996,29.9,334.170013,53.82,1784.75,508.970001,61.310001,197.220001,74.360001,157.039993,106.160004,348.970001,75.139999,41.07,99.610001,55.32,188.320007,38.860001,73.519997,127.580002,92.440002,111.800003,83.230003,48.352386,70.739998,39.59,12.66,181.419998,257.600006,200.490005,17.288462,74.099998,41.799999,1065,1073.209961,255.669998,188.029999,147.323242,154.25,46.849998,139.229996,107.949997,77.019997,18.799999,45.540001,84.68,318.540009,91.620003,151.910004,173.220001,42.41,82.209999,50.18,235.639999,70.739998,56.220001,52.189999,85.949997,155.089996,201.070007,63.490002,199.350006,46.630001,73.980003,118.059998,36.439999,90.650002,104.389999,73.839996,65.199997,186.279999,57.630001,69.519997,47.169998,172.419998,38.540001,67.629997,105.57,221.160004,135.779999,123.669998,54.029999,128.160004,114.510002,53.529999,74.949997,61.09,98.589996,85.029999
"2018-01-03",172.229996,99.949997,58.919998,154.550003,181.039993,170.139999,60.16,101.980003,180.339996,1204.199951,99.550003,297.799988,29.799999,339.850006,54.150002,1824.160034,514.340027,61.360001,199.789993,74.589996,157.279999,109.139999,353.029999,74.849998,40.41,99.440002,56.34,190.580002,39.169998,73.199997,128.509995,93.669998,112.279999,82.970001,49.125755,71.389999,39.060001,12.76,184.669998,260.820007,201.740005,17.451923,74.660004,42.82,1082.47998,1091.52002,253.289993,189.009995,146.106018,158.490005,45.259998,140.559998,108.059998,77.010002,18.959999,45.439999,85.139999,321.209991,92.019997,153.820007,172.490005,42.580002,83.919998,50.5,235.630005,70.480003,56.139999,52.330002,86.349998,151.800003,205.050003,63.48,212.470001,47.709999,75,117.75,36.709999,90.540001,104.260002,76.75,65.940002,188.300003,58.709999,71.330002,46.900002,171.619995,37.650002,67.169998,108.43,223.479996,136.539993,126.410004,54.560001,130.039993,115.650002,52.43,75.510002,61.560001,99.449997,86.699997
"2018-01-04",173.029999,99.379997,58.82,156.380005,183.220001,171.580002,60.400002,100.800003,179.580002,1209.589966,100.849998,296.670013,30.190001,339.98999,54.689999,1807.25,521.130005,61.75,200.690002,75.510002,159.440002,106.68,349.790009,75.330002,40.669998,101.419998,56.990002,189.100006,38.990002,75.129997,128.110001,94.120003,112.230003,82.32,50.067249,71.489998,38.509998,12.98,184.330002,264.880005,205.210007,17.817308,73.900002,44.139999,1086.400024,1095.76001,256.829987,190.509995,148.080414,161.699997,44.43,140.550003,109.040001,77.910004,19.01,46.080002,85.519997,326.720001,92.739998,155.809998,173.699997,42.68,84.120003,51.360001,238.710007,70.199997,57.049999,53.130001,87.110001,151.020004,205.630005,63.439999,213.589996,48.18,74.959999,118.330002,36.790001,91.18,103.470001,76.730003,66.029999,190.089996,58.93,73.099998,46.700001,166.600006,38,65.849998,108.290001,224.449997,135.800003,127.230003,54.98,130.449997,116.080002,52.599998,71.599998,62.330002,99.540001,86.82
"2018-01-05",175,101.110001,58.990002,157.669998,185.339996,172.289993,60.650002,101.870003,180.649994,1229.140015,101.080002,308.839996,30.33,342.48999,54.830002,1823.540039,525.570007,61.889999,201.419998,75.410004,161.960007,104.989998,350.880005,75.419998,41.040001,101.43,56.880001,187.75,39.529999,78.449997,127.900002,94.709999,111.620003,81.940002,50.71957,72.43,38.189999,13.2,186.850006,265.920013,204.699997,17.826923,74.519997,44.009998,1102.22998,1110.290039,255.520004,192.5,149.11554,162.490005,44.740002,141.710007,108.339996,77.839996,18.950001,46.07,86.57,329.679993,94.739998,159.039993,174.050003,43.23,85.540001,51.84,240.570007,70.400002,56.990002,53.110001,88.190002,151.710007,209.990005,63.98,215.399994,48.470001,74.550003,118.669998,36.860001,91.239998,104.300003,78.699997,66.470001,190.229996,59.610001,73.599998,46.779999,168.149994,38.139999,66.550003,109.120003,228.729996,137.529999,127.620003,55.32,131.570007,118.860001,52.48,72.919998,62.75,100.129997,86.75
"2018-01-08",174.350006,99.489998,58.82,158.929993,185.039993,170.559998,60.25,101.389999,180.600006,1246.869995,100.150002,310.149994,30.120001,329.649994,55.060001,1851.810059,529.48999,61.91,202.740005,74.529999,166.029999,104.18,356.549988,75.529999,40.48,100.800003,57.459999,188.479996,39.939999,77.769997,128.529999,95.25,110.019997,82.199997,50.54472,72.199997,38.599998,13.15,188.279999,268.660004,204.699997,17.576923,74.400002,44.220001,1106.939941,1114.209961,251.809998,192.039993,148.31044,163.470001,44.740002,141.889999,108.5,78.480003,18.860001,46,86.129997,328.160004,93.709999,159.270004,173.929993,43.009998,85.510002,51.98,239.789993,70.309998,56.66,52.889999,88.279999,152.960007,212.050003,64.550003,222,48.98,75.190002,117.989998,36.450001,91.720001,104.139999,79.050003,66.269997,192.360001,59.310001,74.800003,47.200001,169.25,38.25,67.18,109.639999,224.759995,139.440002,129.169998,55.400002,132.820007,119.339996,52.389999,73.849998,62.040001,101.610001,87.139999
"2018-01-09",174.330002,100.239998,58.919998,159.460007,186.699997,175.649994,60.630001,100.940002,183.380005,1252.699951,100.519997,318.429993,30.27,336.359985,55.560001,1865.290039,533.940002,61.849998,203.020004,75.309998,166.429993,105.489998,354.76001,75.639999,40.610001,101.690002,57.93,186.289993,39.689999,77.690002,127.839996,98.610001,109.940002,81.239998,50.665771,72.32,38.16,13.08,187.869995,267.75,205.880005,17.846153,78.099998,44.049999,1106.26001,1112.790039,253.940002,193.100006,149.527679,163.830002,43.619999,144.139999,109.050003,78.620003,18.940001,46.23,86.059998,330.51001,94.550003,159.5,173.539993,42.990002,85.879997,52.360001,241.279999,69.57,56.799999,53.299999,88.220001,151.839996,209.309998,64.089996,221.940002,49.060001,74.889999,118.080002,36.41,91.050003,104.889999,79.190002,65.269997,193.699997,59.18,74.900002,46.610001,165.529999,37.490002,69.139999,110.389999,225.880005,141,129.110001,55.779999,134.270004,119.110001,51.610001,73.419998,62.259998,100.389999,86.769997
"2018-01-10",174.289993,99.690002,58.830002,158.899994,187.110001,173.990005,61,100.43,182.860001,1254.329956,101.220001,320.26001,30.549999,336.720001,57.299999,1872.910034,531.570007,62.009998,205.610001,75.650002,165.869995,105.459999,350.829987,74.82,41.09,103.139999,57.650002,185.419998,39.91,77.440002,128.660004,98.239998,109.470001,80.110001,49.899124,72.589996,37.950001,13.03,187.839996,268.01001,204.75,18.201923,78.709999,43,1102.609985,1110.140015,254.330002,191.800003,150.562805,164.179993,42.5,143.970001,110.25,77.889999,18.879999,46.07,86.099998,331.049988,94.169998,159.860001,173.509995,42.630001,85.489998,53.029999,241.139999,70.290001,57.299999,53.93,87.82,150.589996,212.520004,64.220001,223.679993,48.799999,74.25,117.480003,36.470001,90.470001,105.629997,79.370003,65.260002,193.479996,59.82,75.599998,45.959999,164.979996,36.619999,70.730003,109.699997,224.199997,139.699997,129.789993,56.200001,134.899994,118.980003,51.689999,74.080002,63.119999,99.669998,86.080002
"2018-01-11",175.279999,99.269997,58.950001,159.110001,188.919998,177.119995,61.150002,100.779999,181.960007,1276.680054,100.730003,328.119995,30.66,333.070007,57.830002,1893.099976,537.919983,62.470001,206.690002,75.559998,169.199997,104.580002,355.269989,74.550003,42.599998,104.419998,59.18,189.380005,40.099998,79.019997,132.570007,98.589996,110.989998,79.279999,50.585072,73.879997,38.41,13.16,187.770004,271.190002,205.509995,18.288462,79.059998,44.189999,1105.52002,1112.050049,255.130005,194.679993,151.358307,164.199997,43.41,144.789993,110.839996,77.129997,19.200001,46.040001,86.389999,331.130005,95.739998,160.919998,173.389999,42.509998,85.730003,53.490002,242.309998,70.290001,57.599998,54.200001,88.080002,150.5,217.240005,64.290001,224.080002,48.950001,75.82,116.879997,36.560001,90.150002,104.860001,79.75,65.43,193.350006,60,77.050003,45.25,164.830002,36.48,74,110.669998,225.389999,140.350006,133.460007,56.68,134.990005,119.839996,52.110001,75.379997,63.009998,100.019997,86.93
"2018-01-12",177.089996,100.339996,58.84,160.110001,195.050003,176.050003,60.970001,102.110001,185.039993,1305.199951,100.970001,336.209991,31.190001,335.950012,58.419998,1919.400024,555.530029,62.810001,210.160004,76.839996,170.300003,106,354,74.620003,42.439999,105.43,60.049999,191.839996,40.869999,78.779999,133.600006,99.389999,112.470001,78.900002,50.712845,73.910004,38.389999,13.23,179.369995,271.850006,210.589996,18.038462,79.019997,44.07,1122.26001,1130.650024,257.029999,196.419998,152.460526,163.139999,43.240002,145.759995,112.669998,77.349998,19.52,46.150002,86.980003,336.25,100.860001,162.330002,173.570007,42.470001,85.449997,53.330002,244.470001,69.610001,58.66,55.119999,89.599998,150.320007,221.229996,64.669998,222.979996,49.509998,76.529999,117.379997,36.540001,89.610001,104.5,80.540001,65.379997,197.460007,60.400002,77.970001,44.84,165.509995,36.900002,76.800003,112.720001,228.639999,141.169998,134.089996,56.98,136.580002,120.089996,51.860001,76.07,62.549999,100.870003,87.519997
"2018-01-16",176.190002,102.489998,58.439999,157.960007,192.460007,178.660004,61.060001,102.129997,185.539993,1304.859985,100.339996,335.160004,31.24,338.850006,57.540001,1919.469971,563,59.919998,210.289993,77.110001,169.309998,104.82,352.929993,75.419998,41.82,104.419998,58.84,191.529999,40.540001,79.440002,132.009995,99.470001,110.690002,78.419998,50.403496,72.830002,38.470001,13.1,178.389999,269.579987,206.330002,17.509615,80.25,44.189999,1121.76001,1130.699951,258.459991,196.309998,151.329559,163.850006,43.139999,146.860001,112.269997,78.639999,19.389999,46.529999,85.290001,330.109985,100.970001,162.289993,173.679993,42.990002,85.32,51.849998,244.740005,68.919998,62.07,54.599998,88.349998,150.539993,221.529999,63.419998,220.110001,49.59,75.269997,117.860001,36.599998,90.220001,104.870003,80.419998,68.25,195.729996,60.560001,77.169998,44.66,165.039993,36.720001,74.959999,112.919998,232.899994,140.309998,132.880005,57.169998,133.970001,120.389999,51.66,76.029999,62.5,100.690002,86.970001
